State,International plan,Voice mail plan,state_numeric,Area code,Account length,International plan_numeric,Voice mail plan numeric,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Tota all miniutes,Total all calls,Total all charges,Customer service calls,churn_numeric,Churn
ME,No,No,43,408,130,0,0,0,176.3,140,29.97,201,104,17.09,161.9,123,7.29,11.3,5,3.05,550.5,372,57.4,1,0,FALSE
RI,No,No,9,415,73,0,0,0,241.7,115,41.09,168.5,133,14.32,169.8,122,7.64,11.1,2,3,591.1,372,66.05,2,0,FALSE
WI,No,Yes,28,510,100,0,1,38,224.7,121,38.2,294,131,24.99,290,61,13.05,9.8,6,2.65,818.5,319,78.89,0,0,FALSE
NC,No,No,35,510,149,0,0,0,207.3,115,35.24,198.4,82,16.86,114.1,83,5.13,8.6,4,2.32,528.4,284,59.55,1,0,FALSE
OH,No,No,2,408,29,0,0,0,196.8,81,33.46,168,110,14.28,132.6,98,5.97,12.7,7,3.43,510.1,296,57.14,2,0,FALSE
WY,No,No,20,510,131,0,0,0,110.9,74,18.85,115.6,90,9.83,190.5,114,8.57,15.8,9,4.27,432.8,287,41.52,1,0,FALSE
NJ,No,No,3,510,153,0,0,0,122.5,145,20.83,273.3,103,23.23,197.8,71,8.9,8,3,2.16,601.6,322,55.12,2,0,FALSE
ND,No,No,50,510,84,0,0,0,226.9,144,38.57,201.6,122,17.14,130.2,121,5.86,13.2,5,3.56,571.9,392,65.13,2,0,FALSE
WI,No,No,28,510,133,0,0,0,187,65,31.79,141.4,128,12.02,238.2,108,10.72,10,8,2.7,576.6,309,57.23,2,0,FALSE
NY,No,No,41,415,87,0,0,0,204.8,101,34.82,161,80,13.69,285.7,89,12.86,9.5,3,2.57,661,273,63.94,0,0,FALSE
MO,No,No,7,415,72,0,0,0,165.9,114,28.2,235.9,97,20.05,210.1,120,9.45,12,5,3.24,623.9,336,60.94,2,0,FALSE
MN,No,Yes,37,510,65,0,1,29,158.1,104,26.88,322.2,81,27.39,210,96,9.45,8.9,6,2.4,699.2,287,66.12,1,0,FALSE
CO,No,No,17,415,74,0,0,0,225.2,93,38.28,215.1,120,18.28,241.8,95,10.88,9.1,2,2.46,691.2,310,69.9,2,0,FALSE
MD,No,No,26,408,116,0,0,0,159.4,79,27.1,179.5,88,15.26,167.8,71,7.55,9.7,2,2.62,516.4,240,52.53,6,1,TRUE
AR,No,No,27,510,68,0,0,0,172.7,95,29.36,139.1,90,11.82,174.3,99,7.84,11.7,1,3.16,497.8,285,52.18,2,0,FALSE
TN,No,No,47,415,68,0,0,0,222.8,99,37.88,175.8,85,14.94,202,111,9.09,11,3,2.97,611.6,298,64.88,3,0,FALSE
DE,Yes,No,30,415,54,1,0,0,214.1,77,36.4,240.5,94,20.44,188.9,75,8.5,10.1,3,2.73,653.6,249,68.07,1,0,FALSE
WI,No,No,28,408,107,0,0,0,134,104,22.78,174.5,94,14.83,311.1,79,14,7.3,3,1.97,626.9,280,53.58,3,0,FALSE
MN,No,No,37,510,173,0,0,0,291.8,143,49.61,214.3,134,18.22,151.2,119,6.8,9.9,2,2.67,667.2,398,77.3,0,1,TRUE
MO,No,No,7,408,110,0,0,0,222.7,94,37.86,105.8,98,8.99,214.8,78,9.67,13.5,4,3.65,556.8,274,60.17,1,0,FALSE
VA,No,No,14,510,102,0,0,0,174.5,79,29.67,236.8,136,20.13,270.4,110,12.17,8.5,5,2.3,690.2,330,64.27,0,0,FALSE
OK,No,Yes,4,408,91,0,1,31,273,78,46.41,215.5,98,18.32,104.7,114,4.71,9.6,2,2.59,602.8,292,72.03,1,0,FALSE
CT,Yes,No,51,415,64,1,0,0,225.3,134,38.3,108.2,87,9.2,139.6,132,6.28,17.3,9,4.67,490.4,362,58.45,1,1,TRUE
TN,No,Yes,47,415,176,0,1,23,283.2,130,48.14,162.6,74,13.82,177.7,104,8,7.2,6,1.94,630.7,314,71.9,1,0,FALSE
WI,No,Yes,28,510,84,0,1,12,89.7,87,15.25,138.6,73,11.78,165.8,114,7.46,10.7,2,2.89,404.8,276,37.38,1,0,FALSE
SD,No,No,34,510,138,0,0,0,127.1,102,21.61,247.7,106,21.05,207.7,75,9.35,5,3,1.35,587.5,286,53.36,3,0,FALSE
ND,No,Yes,50,415,101,0,1,28,105.9,132,18,231.7,107,19.69,281.3,120,12.66,10.7,5,2.89,629.6,364,53.24,1,0,FALSE
VA,No,No,14,408,136,0,0,0,142.3,79,24.19,158,113,13.43,177.5,75,7.99,6,11,1.62,483.8,278,47.23,2,0,FALSE
UT,No,No,32,510,111,0,0,0,191.3,80,32.52,138.5,94,11.77,246,107,11.07,6.4,3,1.73,582.2,284,57.09,2,0,FALSE
MA,No,Yes,6,408,132,0,1,36,201.9,93,34.32,156.3,75,13.29,131.3,92,5.91,13.7,5,3.7,503.2,265,57.22,0,0,FALSE
SD,No,No,34,415,128,0,0,0,247.3,91,42.04,182.7,60,15.53,143.2,112,6.44,14.7,2,3.97,587.9,265,67.98,3,0,FALSE
AL,No,Yes,5,408,92,0,1,38,242.2,96,41.17,159.7,144,13.57,210,108,9.45,8.9,1,2.4,620.8,349,66.59,1,0,FALSE
AL,Yes,No,5,415,197,1,0,0,127.3,80,21.64,222.3,115,18.9,173.9,95,7.83,13.7,5,3.7,537.2,295,52.07,5,1,TRUE
SC,No,Yes,46,415,99,0,1,33,179.1,93,30.45,238.3,102,20.26,165.7,96,7.46,10.6,1,2.86,593.7,292,61.03,2,0,FALSE
FL,No,Yes,16,415,106,0,1,31,197.4,125,33.56,123.4,110,10.49,115.6,101,5.2,12.3,4,3.32,448.7,340,52.57,3,0,FALSE
UT,No,No,32,415,78,0,0,0,193.1,85,32.83,172.1,105,14.63,129.6,119,5.83,10.2,1,2.75,505,310,56.04,0,0,FALSE
NY,No,No,41,408,98,0,0,0,171.7,99,29.19,174.8,87,14.86,189.6,130,8.53,7.8,6,2.11,543.9,322,54.69,1,0,FALSE
MS,No,Yes,44,408,17,0,1,35,198.5,123,33.75,270.6,74,23,209.9,130,9.45,8.1,10,2.19,687.1,337,68.39,1,0,FALSE
NH,No,Yes,22,415,56,0,1,24,121.7,87,20.69,184,76,15.64,266.6,98,12,12.7,3,3.43,585,264,51.76,1,0,FALSE
VA,No,No,14,415,84,0,0,0,130.2,105,22.13,278,60,23.63,305.4,74,13.74,14,6,3.78,727.6,245,63.28,2,0,FALSE
VT,No,No,13,510,95,0,0,0,203.4,96,34.58,168.6,61,14.33,173,105,7.79,13.7,3,3.7,558.7,265,60.4,2,0,FALSE
NV,Yes,No,39,510,76,1,0,0,241,120,40.97,231.8,96,19.7,220.2,67,9.91,9.9,1,2.67,702.9,284,73.25,1,1,TRUE
WV,No,No,8,415,93,0,0,0,141.7,95,24.09,221,100,18.79,227.1,71,10.22,10.2,3,2.75,600,269,55.85,0,0,FALSE
WA,No,No,36,408,83,0,0,0,134.8,96,22.92,167.2,78,14.21,161.5,123,7.27,7.7,5,2.08,471.2,302,46.48,2,0,FALSE
KS,No,No,1,415,123,0,0,0,163.1,119,27.73,249.4,51,21.2,168.2,77,7.57,9,10,2.43,589.7,257,58.93,1,0,FALSE
VT,No,No,13,408,64,0,0,0,145.5,116,24.74,228.4,110,19.41,273.4,91,12.3,8.9,8,2.4,656.2,325,58.85,1,0,FALSE
OK,No,No,4,510,82,0,0,0,329.8,73,56.07,208.3,120,17.71,267.1,102,12.02,10.6,6,2.86,815.8,301,88.66,0,1,TRUE
CO,No,No,17,510,110,0,0,0,131.9,93,22.42,272.7,106,23.18,192.8,105,8.68,7.1,4,1.92,604.5,308,56.2,1,0,FALSE
TN,No,Yes,47,415,47,0,1,30,196.6,93,33.42,241.4,140,20.52,226,118,10.17,12.9,4,3.48,676.9,355,67.59,2,0,FALSE
KY,No,No,42,510,115,0,0,0,99.7,107,16.95,145.1,96,12.33,149.4,99,6.72,14.1,4,3.81,408.3,306,39.81,2,0,FALSE
PA,No,No,48,415,69,0,0,0,143.6,88,24.41,141.8,86,12.05,194,83,8.73,10.8,5,2.92,490.2,262,48.11,3,0,FALSE
CT,No,No,51,415,90,0,0,0,37.8,80,6.43,155.3,105,13.2,175,111,7.88,14.2,5,3.83,382.3,301,31.34,3,0,FALSE
MN,No,No,37,415,98,0,0,0,72.8,107,12.38,186.4,103,15.84,175.3,110,7.89,10.5,4,2.84,445,324,38.95,3,0,FALSE
WY,No,Yes,20,408,90,0,1,39,94.8,89,16.12,219.1,91,18.62,197.4,65,8.88,11.4,5,3.08,522.7,250,46.7,1,0,FALSE
PA,No,Yes,48,415,174,0,1,15,221.8,143,37.71,210.6,115,17.9,221.8,109,9.98,12.4,9,3.35,666.6,376,68.94,1,0,FALSE
PA,No,No,48,415,79,0,0,0,268.3,114,45.61,185.5,111,15.77,264.6,88,11.91,6.3,7,1.7,724.7,320,74.99,1,1,TRUE
VT,No,No,13,415,99,0,0,0,115.5,75,19.64,218.1,111,18.54,254.9,98,11.47,11.5,7,3.11,600,291,52.76,7,1,TRUE
ID,No,No,12,415,114,0,0,0,202.1,100,34.36,195.7,102,16.63,291.8,120,13.13,13.3,5,3.59,702.9,327,67.71,2,0,FALSE
PA,No,No,48,510,141,0,0,0,215.6,113,36.65,200.6,81,17.05,153.8,107,6.92,12.4,6,3.35,582.4,307,63.97,1,0,FALSE
NM,No,No,38,408,132,0,0,0,169.9,107,28.88,209.4,121,17.8,206.1,79,9.27,11.5,2,3.11,596.9,309,59.06,1,0,FALSE
FL,No,No,16,510,133,0,0,0,201.7,85,34.29,169.4,116,14.4,286.3,80,12.88,6,4,1.62,663.4,285,63.19,0,0,FALSE
TX,No,No,15,408,133,0,0,0,221.1,133,37.59,160.2,140,13.62,161.8,84,7.28,8.4,3,2.27,551.5,360,60.76,4,0,FALSE
VT,No,Yes,13,510,93,0,1,32,218.7,117,37.18,115,61,9.78,192.7,85,8.67,9.4,5,2.54,535.8,268,58.17,2,0,FALSE
OR,No,No,29,415,140,0,0,0,120.3,108,20.45,240.4,84,20.43,216.4,74,9.74,7.7,3,2.08,584.8,269,52.7,4,1,TRUE
FL,No,No,16,510,144,0,0,0,278.5,95,47.35,240.7,90,20.46,120,90,5.4,11.6,5,3.13,650.8,280,76.34,1,1,TRUE
ID,No,Yes,12,408,24,0,1,29,236.3,105,40.17,190.8,114,16.22,129,105,5.81,7.2,2,1.94,563.3,326,64.14,3,0,FALSE
MD,No,No,26,415,54,0,0,0,273.8,113,46.55,119.6,156,10.17,267.6,117,12.04,11.7,3,3.16,672.7,389,71.92,1,0,FALSE
WV,No,No,8,408,50,0,0,0,131.1,129,22.29,160.5,94,13.64,206.9,88,9.31,5.6,9,1.51,504.1,320,46.75,5,1,TRUE
ID,No,Yes,12,415,92,0,1,23,167.4,83,28.46,258.6,129,21.98,116.4,110,5.24,11.2,3,3.02,553.6,325,58.7,4,0,FALSE
NV,No,No,39,408,96,0,0,0,197.7,68,33.61,250.5,53,21.29,181.2,67,8.15,10.5,3,2.84,639.9,191,65.89,3,0,FALSE
SC,No,No,46,408,102,0,0,0,174.5,73,29.67,213.7,114,18.16,164.7,116,7.41,10.3,5,2.78,563.2,308,58.02,4,0,FALSE
NE,No,No,19,415,99,0,0,0,200,66,34,107.9,104,9.17,233.7,82,10.52,11.4,2,3.08,553,254,56.77,3,0,FALSE
ME,No,Yes,43,510,36,0,1,25,152.8,110,25.98,242.8,67,20.64,147.4,74,6.63,9.1,2,2.46,552.1,253,55.71,1,0,FALSE
MI,No,No,45,510,70,0,0,0,129.9,102,22.08,208.7,133,17.74,231.4,93,10.41,14.3,3,3.86,584.3,331,54.09,1,0,FALSE
AZ,Yes,No,18,415,109,1,0,0,268.4,85,45.63,150.6,131,12.8,297.9,84,13.41,9.7,8,2.62,726.6,308,74.46,2,1,TRUE
AZ,No,No,18,415,100,0,0,0,188.5,152,32.05,148.3,115,12.61,179.8,88,8.09,15.2,5,4.1,531.8,360,56.85,2,0,FALSE
MA,No,No,6,510,80,0,0,0,149.8,123,25.47,276.3,75,23.49,241.4,75,10.86,10.9,7,2.94,678.4,280,62.76,2,0,FALSE
SC,No,No,46,510,100,0,0,0,115.9,87,19.7,111.3,56,9.46,170.2,77,7.66,7.1,4,1.92,404.5,224,38.74,1,0,FALSE
WV,No,No,8,510,50,0,0,0,131.7,108,22.39,216.5,103,18.4,196.1,126,8.82,11,5,2.97,555.3,342,52.58,1,0,FALSE
MS,No,No,44,415,105,0,0,0,101.4,48,17.24,159.1,119,13.52,259.2,53,11.66,12.2,2,3.29,531.9,222,45.71,1,0,FALSE
VA,No,Yes,14,415,113,0,1,23,149,104,25.33,235.8,67,20.04,201.8,76,9.08,9.5,5,2.57,596.1,252,57.02,4,0,FALSE
MS,No,Yes,44,415,111,0,1,36,96.8,123,16.46,170.6,105,14.5,166,85,7.47,13.4,4,3.62,446.8,317,42.05,2,0,FALSE
NM,No,No,38,408,161,0,0,0,107.5,121,18.28,256.4,46,21.79,247.2,131,11.12,12.6,3,3.4,623.7,301,54.59,2,0,FALSE
TX,No,No,15,415,70,0,0,0,232.8,95,39.58,303.4,111,25.79,255.6,104,11.5,12.9,7,3.48,804.7,317,80.35,0,1,TRUE
HI,No,Yes,49,415,97,0,1,43,121.1,105,20.59,260.2,115,22.12,222.4,100,10.01,8.3,5,2.24,612,325,54.96,3,0,FALSE
WA,No,No,36,510,130,0,0,0,124.3,70,21.13,270.7,99,23.01,239.5,83,10.78,3.5,6,0.95,638,258,55.87,0,0,FALSE
WI,No,No,28,415,92,0,0,0,157.7,101,26.81,298.6,100,25.38,216.9,99,9.76,13.8,3,3.73,687,303,65.68,1,0,FALSE
CO,No,No,17,408,119,0,0,0,124.3,68,21.13,207.1,88,17.6,157.4,93,7.08,14.8,1,4,503.6,250,49.81,0,0,FALSE
NV,No,No,39,415,115,0,0,0,286.4,125,48.69,205.7,74,17.48,191.4,141,8.61,6.9,6,1.86,690.4,346,76.64,1,1,TRUE
VA,No,Yes,14,408,127,0,1,25,173,91,29.41,245.8,64,20.89,300,99,13.5,4.8,3,1.3,723.6,257,65.1,0,0,FALSE
ND,No,Yes,50,415,153,0,1,31,218.5,130,37.15,134.2,103,11.41,118.9,105,5.35,9.4,6,2.54,481,344,56.45,0,0,FALSE
HI,No,No,49,415,79,0,0,0,41.9,124,7.12,211,95,17.94,237.9,55,10.71,11.4,5,3.08,502.2,279,38.85,1,0,FALSE
ND,No,No,50,415,35,0,0,0,260.8,87,44.34,258.1,78,21.94,131.3,123,5.91,5.8,2,1.57,656,290,73.76,1,0,FALSE
MN,No,No,37,510,68,0,0,0,226.7,94,38.54,168.4,129,14.31,188.7,117,8.49,10.2,1,2.75,594,341,64.09,0,0,FALSE
DC,No,No,40,408,60,0,0,0,179.3,147,30.48,208.9,89,17.76,248.2,98,11.17,13.5,6,3.65,649.9,340,63.06,1,1,TRUE
MT,No,Yes,11,510,71,0,1,23,175.7,82,29.87,258.9,136,22.01,268.4,154,12.08,14.1,7,3.81,717.1,379,67.77,1,0,FALSE
WV,No,No,8,415,124,0,0,0,157.4,107,26.76,167.8,112,14.26,188.8,102,8.5,8.8,3,2.38,522.8,324,51.9,3,0,FALSE
ME,No,No,43,510,23,0,0,0,113.1,74,19.23,168.8,95,14.35,262.9,126,11.83,6.9,2,1.86,551.7,297,47.27,1,1,TRUE
WY,No,No,20,415,225,0,0,0,182.7,142,31.06,246.5,63,20.95,218,103,9.81,8.8,2,2.38,656,310,64.2,1,0,FALSE
NY,Yes,No,41,415,181,1,0,0,161.3,83,27.42,124.4,83,10.57,262,98,11.79,14.1,3,3.81,561.8,267,53.59,0,1,TRUE
VT,No,No,13,415,63,0,0,0,142.5,92,24.23,208.3,102,17.71,228.9,120,10.3,7.5,2,2.03,587.2,316,54.27,2,0,FALSE
NC,Yes,No,35,415,54,1,0,0,190.5,108,32.39,259.7,108,22.07,141.5,111,6.37,9.7,2,2.62,601.4,329,63.45,2,1,TRUE
MO,Yes,Yes,7,408,80,1,1,15,159.3,110,27.08,170.6,120,14.5,141.2,82,6.35,11.9,5,3.21,483,317,51.14,1,0,FALSE
NC,Yes,Yes,35,408,118,1,1,39,153.8,106,26.15,123.3,111,10.48,117.8,103,5.3,9.2,6,2.48,404.1,326,44.41,1,0,FALSE
NJ,Yes,No,3,408,42,1,0,0,180.7,127,30.72,174.6,94,14.84,165.3,114,7.44,12,6,3.24,532.6,341,56.24,2,0,FALSE
OH,No,No,2,408,134,0,0,0,202.7,105,34.46,224.9,90,19.12,253.9,108,11.43,12.1,7,3.27,693.6,310,68.28,0,0,FALSE
TX,No,Yes,15,415,66,0,1,35,190.8,100,32.44,261.3,93,22.21,209.5,108,9.43,8.9,6,2.4,670.5,307,66.48,0,0,FALSE
WA,No,No,36,415,66,0,0,0,205.1,102,34.87,232.7,109,19.78,259.9,95,11.7,9.2,6,2.48,706.9,312,68.83,2,0,FALSE
TN,No,Yes,47,415,127,0,1,28,235.6,124,40.05,236.8,113,20.13,241.2,127,10.85,7.7,2,2.08,721.3,366,73.11,1,0,FALSE
HI,No,No,49,510,146,0,0,0,189.3,77,32.18,155.9,128,13.25,186,83,8.37,7.4,3,2,538.6,291,55.8,0,0,FALSE
WY,No,Yes,20,408,93,0,1,42,166.9,101,28.37,273.2,84,23.22,171,106,7.69,11.5,1,3.11,622.6,292,62.39,1,0,FALSE
CT,No,No,51,415,77,0,0,0,245.2,87,41.68,254.1,83,21.6,239.4,91,10.77,7.5,4,2.03,746.2,265,76.08,0,1,TRUE
NM,No,No,38,415,111,0,0,0,132.6,125,22.54,221.1,67,18.79,127.9,101,5.76,12.7,2,3.43,494.3,295,50.52,4,1,TRUE
AL,No,Yes,5,510,115,0,1,14,192.3,86,32.69,88.7,90,7.54,229.4,120,10.32,10.5,3,2.84,520.9,299,53.39,2,0,FALSE
MN,Yes,No,37,510,115,1,0,0,122,110,20.74,220.2,100,18.72,179.7,124,8.09,10.8,2,2.92,532.7,336,50.47,2,1,TRUE
NC,No,No,35,408,114,0,0,0,193,101,32.81,250,81,21.25,133.3,79,6,9.6,2,2.59,585.9,263,62.65,2,0,FALSE
OH,No,No,2,415,106,0,0,0,158.6,112,26.96,220,114,18.7,252.9,106,11.38,9.1,3,2.46,640.6,335,59.5,0,0,FALSE
CO,No,No,17,510,59,0,0,0,153.6,92,26.11,205.5,88,17.47,114.5,89,5.15,12.5,10,3.38,486.1,279,52.11,1,0,FALSE
ND,Yes,Yes,50,415,87,1,1,40,221.6,79,37.67,157.1,74,13.35,222.4,124,10.01,11.5,3,3.11,612.6,280,64.14,1,0,FALSE
NY,No,No,41,415,21,0,0,0,244.7,81,41.6,168,117,14.28,281.5,87,12.67,6.6,1,1.78,700.8,286,70.33,1,0,FALSE
WI,No,Yes,28,408,142,0,1,24,239.8,103,40.77,285.9,65,24.3,256.7,106,11.55,9.5,4,2.57,791.9,278,79.19,0,0,FALSE
OR,No,No,29,415,149,0,0,0,242.5,83,41.23,245.4,97,20.86,219.6,80,9.88,10,3,2.7,717.5,263,74.67,3,1,TRUE
CO,No,Yes,17,510,54,0,1,39,117.6,82,19.99,159.2,60,13.53,236.4,113,10.64,11.3,10,3.05,524.5,265,47.21,2,0,FALSE
PA,No,No,48,510,88,0,0,0,218.2,76,37.09,169.3,60,14.39,141.1,99,6.35,8,1,2.16,536.6,236,59.99,1,0,FALSE
IL,No,Yes,21,415,85,0,1,29,144.6,97,24.58,140,102,11.9,165.4,148,7.44,10.9,3,2.94,460.9,350,46.86,1,0,FALSE
DE,Yes,No,30,415,51,1,0,0,153.6,108,26.11,232.9,85,19.8,214.2,92,9.64,14.1,4,3.81,614.8,289,59.36,0,1,TRUE
MO,No,Yes,7,510,45,0,1,29,135.8,104,23.09,222.5,101,18.91,235.6,92,10.6,7.9,6,2.13,601.8,303,54.73,2,0,FALSE
OH,No,Yes,2,408,146,0,1,31,202.5,91,34.43,241.4,108,20.52,169.6,77,7.63,7.8,2,2.11,621.3,278,64.69,1,0,FALSE
WI,No,Yes,28,510,63,0,1,34,152.2,119,25.87,227.1,91,19.3,195.7,103,8.81,12.3,5,3.32,587.3,318,57.3,1,0,FALSE
OH,No,No,2,510,72,0,0,0,138.9,111,23.61,211.6,102,17.99,179.5,91,8.08,10.8,3,2.92,540.8,307,52.6,1,0,FALSE
TN,No,No,47,408,130,0,0,0,127,102,21.59,206.9,107,17.59,231.7,99,10.43,6.1,6,1.65,571.7,314,51.26,0,0,FALSE
SD,No,No,34,415,97,0,0,0,168.6,87,28.66,259.2,105,22.03,279.8,123,12.59,7.3,4,1.97,714.9,319,65.25,1,0,FALSE
NY,No,No,41,415,54,0,0,0,286.6,73,48.72,223.2,108,18.97,203.7,107,9.17,11.5,5,3.11,725,293,79.97,1,1,TRUE
GA,No,Yes,24,415,160,0,1,29,164.6,121,27.98,262.8,108,22.34,123.8,131,5.57,15.2,4,4.1,566.4,364,59.99,1,0,FALSE
TX,No,No,15,415,79,0,0,0,144,90,24.48,135.8,91,11.54,212.4,129,9.56,13,4,3.51,505.2,314,49.09,1,0,FALSE
WV,No,Yes,8,415,92,0,1,47,141.6,95,24.07,207.9,130,17.67,203.6,95,9.16,10.2,11,2.75,563.3,331,53.65,0,0,FALSE
MI,No,No,45,415,59,0,0,0,204.3,65,34.73,247.3,123,21.02,214.7,94,9.66,12,4,3.24,678.3,286,68.65,1,0,FALSE
ND,No,No,50,510,132,0,0,0,163.2,80,27.74,167.6,90,14.25,87.5,90,3.94,6.2,10,1.67,424.5,270,47.6,1,0,FALSE
SD,No,No,34,415,93,0,0,0,176.1,103,29.94,199.7,130,16.97,263.9,96,11.88,8.5,6,2.3,648.2,335,61.09,2,0,FALSE
NJ,No,Yes,3,415,147,0,1,36,254.2,78,43.21,228.1,105,19.39,98,125,4.41,13.8,7,3.73,594.1,315,70.74,5,0,FALSE
AK,No,No,25,510,101,0,0,0,174.9,105,29.73,262,75,22.27,210,93,9.45,8.5,5,2.3,655.4,278,63.75,1,0,FALSE
CT,Yes,No,51,415,125,1,0,0,187.3,118,31.84,160.7,111,13.66,263.8,112,11.87,9.6,2,2.59,621.4,343,59.96,0,1,TRUE
CO,No,No,17,415,63,0,0,0,211.8,84,36.01,230.9,137,19.63,217.1,99,9.77,10.7,9,2.89,670.5,329,68.3,3,0,FALSE
MD,No,No,26,415,107,0,0,0,241.9,102,41.12,126.9,117,10.79,185.6,92,8.35,11.7,6,3.16,566.1,317,63.42,0,0,FALSE
MN,No,No,37,408,117,0,0,0,161.6,104,27.47,196.3,119,16.69,294.8,111,13.27,13.8,2,3.73,666.5,336,61.16,1,0,FALSE
KY,No,No,42,415,124,0,0,0,194,103,32.98,241,116,20.49,227.5,153,10.24,11.9,5,3.21,674.4,377,66.92,0,0,FALSE
NH,No,No,22,510,115,0,0,0,109.7,148,18.65,223.8,87,19.02,240.3,96,10.81,15.4,8,4.16,589.2,339,52.64,3,0,FALSE
CO,Yes,No,17,408,156,1,0,0,277,119,47.09,238.3,106,20.26,94.4,96,4.25,8.3,3,2.24,618,324,73.84,1,0,FALSE
KY,No,No,42,408,89,0,0,0,192.1,83,32.66,163.6,88,13.91,169.7,138,7.64,6.1,3,1.65,531.5,312,55.86,0,0,FALSE
KY,No,No,42,415,72,0,0,0,198.4,147,33.73,216.9,121,18.44,112.8,125,5.08,13.1,4,3.54,541.2,397,60.79,0,0,FALSE
OR,No,No,29,415,53,0,0,0,184.8,98,31.42,216.4,125,18.39,141.1,116,6.35,18.4,3,4.97,560.7,342,61.13,2,0,FALSE
SD,No,No,34,408,116,0,0,0,167.8,119,28.53,142,123,12.07,190.7,128,8.58,7.3,4,1.97,507.8,374,51.15,2,0,FALSE
DE,No,No,30,408,78,0,0,0,139.2,140,23.66,191.4,113,16.27,286.5,125,12.89,11.8,3,3.19,628.9,381,56.01,3,0,FALSE
NE,No,No,19,510,56,0,0,0,121.6,84,20.67,165.3,115,14.05,243.9,95,10.98,8.9,2,2.4,539.7,296,48.1,1,0,FALSE
OH,No,Yes,2,408,123,0,1,39,270.4,99,45.97,245.1,110,20.83,108.9,113,4.9,15.4,7,4.16,639.8,329,75.86,1,0,FALSE
AR,No,Yes,27,415,116,0,1,23,253,78,43.01,138.9,121,11.81,277.8,104,12.5,11.8,3,3.19,681.5,306,70.51,2,0,FALSE
WI,No,No,28,408,102,0,0,0,200.6,106,34.1,152.5,127,12.96,199.4,128,8.97,7.7,2,2.08,560.2,363,58.11,3,0,FALSE
OR,No,No,29,415,95,0,0,0,167.6,96,28.49,176,89,14.96,250.9,113,11.29,13.4,6,3.62,607.9,304,58.36,2,0,FALSE
VA,No,No,14,408,102,0,0,0,156.5,67,26.61,204.3,103,17.37,141.9,72,6.39,9.9,2,2.67,512.6,244,53.04,2,0,FALSE
AR,No,Yes,27,415,89,0,1,25,215.1,140,36.57,197.4,69,16.78,162.1,117,7.29,10.6,10,2.86,585.2,336,63.5,1,0,FALSE
CT,No,No,51,408,50,0,0,0,301.7,82,51.29,167.1,118,14.2,72.2,89,3.25,10.5,6,2.84,551.5,295,71.58,1,0,FALSE
OH,No,Yes,2,415,93,0,1,42,152.3,90,25.89,267.5,102,22.74,266.9,130,12.01,11.3,5,3.05,698,327,63.69,7,0,FALSE
WY,No,No,20,510,68,0,0,0,195.4,116,33.22,212.1,101,18.03,138.4,134,6.23,15.1,11,4.08,561,362,61.56,1,0,FALSE
IL,No,No,21,408,70,0,0,0,208.7,97,35.48,275.5,83,23.42,182.5,122,8.21,8,3,2.16,674.7,305,69.27,2,0,FALSE
MO,No,Yes,7,415,138,0,1,29,190.1,87,32.32,223.2,123,18.97,256.2,130,11.53,14.2,6,3.83,683.7,346,66.65,0,0,FALSE
MA,No,Yes,6,415,112,0,1,17,183.2,95,31.14,252.8,125,21.49,156.7,95,7.05,9.7,3,2.62,602.4,318,62.3,0,0,FALSE
NH,Yes,No,22,510,117,1,0,0,54.2,100,9.21,303.2,84,25.77,171.8,84,7.73,8.6,2,2.32,537.8,270,45.03,1,1,TRUE
IA,No,Yes,10,408,1,0,1,26,208,115,35.36,185,113,15.73,177.7,144,8,8.1,9,2.19,578.8,381,61.28,1,0,FALSE
AL,No,No,5,415,70,0,0,0,230.3,110,39.15,77.9,87,6.62,247.1,105,11.12,13.2,4,3.56,568.5,306,60.45,1,0,FALSE
WV,No,Yes,8,510,52,0,1,21,195.7,119,33.27,106.2,95,9.03,157.4,94,7.08,5.3,3,1.43,464.6,311,50.81,2,0,FALSE
NV,No,No,39,408,105,0,0,0,166.1,93,28.24,175.9,106,14.95,243.5,55,10.96,16.2,3,4.37,601.7,257,58.52,2,0,FALSE
SC,No,Yes,46,510,77,0,1,28,135.9,117,23.1,244.5,102,20.78,207.5,74,9.34,11.5,3,3.11,599.4,296,56.33,4,1,TRUE
NC,Yes,No,35,415,80,1,0,0,189.1,122,32.15,223.2,92,18.97,269,116,12.11,13.9,3,3.75,695.2,333,66.98,2,1,TRUE
NH,No,Yes,22,510,120,0,1,43,177.9,117,30.24,175.1,70,14.88,161.3,117,7.26,11.5,4,3.11,525.8,308,55.49,1,0,FALSE
WY,No,Yes,20,408,54,0,1,39,143.9,73,24.46,210.3,117,17.88,129.2,117,5.81,12.5,8,3.38,495.9,315,51.53,2,0,FALSE
FL,Yes,No,16,510,148,1,0,0,148.2,138,25.19,159.6,123,13.57,197.4,62,8.88,8.6,3,2.32,513.8,326,49.96,2,0,FALSE
PA,No,No,48,408,119,0,0,0,287.1,115,48.81,159.3,99,13.54,216.8,86,9.76,13.9,1,3.75,677.1,301,75.86,2,1,TRUE
